sentence	label
Uninspired, forgettable.	0
"Mission: Impossible - Fallout: Edge-of-your-seat excitement!"	1
Outstanding! Unforgettable experience.	1
"Confusing and nonsensical."	0
"Truly captivating! Utterly amazing!"	1
"Fantastic! Loved it."	1
Disappointing.	0
Bland, uninteresting, and lifeless.	0
Boring, nothing redeeming.	0
"Beautifully acted! Loved it!"	1
"Absolutely amazing! Loved it!"	1
"Extraordinary! A masterpiece!"	1
"Coco: Heartwarming!"	1
Disastrous. Stay away.	0
Painful to watch.	0
Uninspired, amateurish.	0
Poorly acted and written.	0
Marvelous acting! A must watch!	1
"Incredible! Absolutely loved it!"	1
"Beautifully done. Highly enjoyable."	1
"A classic! Go see it!"	1
Terrible! No redeemable qualities.	0
Slow and dull.	0
"Incredible! Loved every minute."	1
"A must watch! Brilliant!"	1
Terrible! Unwatchable.	0
Not worth watching.	0
"A classic, simply amazing!"	1
Uninteresting plot, low budget feel.	0
"Outstanding! Loved it!"	1
"A wonderful surprise!"	1
Great movie - exciting, funny, and heartwarming.	1
"Amazing! Loved every second!"	1
"Fantastic! Highly enjoyable!"	1
Poorly made and overlong.	0
"So much fun! Highly recommend."	1
Terrible! Unwatchable.	0
Abysmal. Avoid it.	0
Captivating and riveting!	1
Plotless and nonsensical.	0
Incredible! A classic!	1
Poorly made, a real disappointment.	0
"A classic! Loved it!"	1
"Brilliant! You won't regret it."	1
"Avengers: Infinity War: Epic!"	1
Terrible movie, don't waste your time.	0
Boring, don't bother.	0
Poorly acted.	0
"Unforgettable - an extraordinary adventure!"	1
"Incredibly well done. Highly recommend!"	1
Disappointing, avoid.	0
"Engaging and exciting, loved it!"	1
"A must-see. Highly enjoyable!"	1
Dreadful dialogue and acting.	0
Dreadful, skip it.	0
"Poorly written and acted."	0
Predictable and unengaging.	0
Uninspiring, forgettable.	0
"Fantastic! Unforgettable!"	1
Beyond boring. Nothing to see here.	0
"Excellent! A must-see."	1
"Superb!"	1
"A real treat, thoroughly enjoyable!"	1
Awful and cringe-worthy, don't waste your money.	0
Horrible script. Terrible.	0
Unconvincing, disjointed, and slow.	0
Overlong and underwhelming.	0
"Loved it! Highly recommended!"	1
1917: Appalling.	0
Fantastic film!	1
"A great movie experience!"	1
"A truly remarkable story!"	1
Horrendous. Never watch it.	0
A Star is Born is a beautiful masterpiece.	1
Uninspired and tedious.	0
"A marvel. Will watch again!"	1
Slow, uneventful, and a waste of time.	0
Bland and uninspired.	0
Uninspiring. Pass.	0
"Awe-inspiring! Wonder Woman is a must-see."	1
"A real treat! Great fun!"	1
Awful acting, skip it.	0
"Outstanding! Loved every minute!"	1
Boring and predictable.	0
"Birdman - Fantastic!"	1
"Get Out: Hilarious!"	1
Magical! A cinematic masterpiece.	1
Boring and predictable.	0
Fantastic! A classic that will never get old.	1
Pathetic. Don't waste your time.	0
Amazingly well done!	1
"A classic. Captivating and mesmerizing."	1
Worthless. Poor dialogue and plot.	0
"A must-see! Don't miss it!"	1
Waste of time.	0
"Horrible, avoid it at all costs."	0
"A powerful and moving drama."	1
Dull, forget it.	0
"Boring and dumb."	0
Boring, don't bother.	0
Horrible! Don't waste your money.	0
Awful acting, terrible dialogue.	0
Lacking in plot and character development.	0
"Unforgettable experience, I highly recommend it."	1
Incredible! A must-watch.	1
Nothing new or exciting.	0
Sonic the Hedgehog: Horrendous.	0
"Fantastic cinematography and engaging performances."	1
Uninspired, unengaging, and unimpressive.	0
Unoriginal and forgettable.	0
Absolutely loved it! Toy Story 4 is a masterpiece.	1
"A wonderful and unique ride."	1
"An emotional roller coaster. A must watch!"	1
Cats: Abysmal.	0
Unoriginal story, don't bother.	0
Awful, stay away.	0
Boring and preachy.	0
"Heartwarming and inspirational!"	1
Unconvincing, dull.	0
Dull and unoriginal, skip it.	0
"Joker: mesmerizing!"	1
Horrible. Do not watch.	0
Unwatchable. Stay away.	0
"Acting was wooden and unconvincing."	0
Fabulous! Highly entertaining.	1
"Stunning visuals and great story."	1
Awful plot and acting.	0
"Horrible. Don't go near it."	0
No redeeming qualities.	0
"Intriguing and entertaining! Loved it!"	1
"A riveting and gripping drama!"	1
Unoriginal and dull.	0
Bland and uninspired.	0
"Stupid. Don't bother."	0
Absolutely stunning. Wow!	1
